KA,KU,Tier,Level,Number,Learning Outcome,,,
GV,Computer Animation,3,Usage,5,"Implement algorithms for physical modeling of particle dynamics using simple Newtonian mechanics, for example Witkin & Kass, snakes and worms, symplectic Euler, Stormer/Verlet, or midpoint Euler methods.",,,
GV,Computer Animation,3,Familiarity,6,"Discuss the basic ideas behind some methods for fluid dynamics for modeling ballistic trajectories, for example for splashes, dust, fire, or smoke.",8/19/13,Deleted outcome,
GV,Computer Animation,3,Usage,7,Use common animation software to construct simple organic forms using metaball and skeleton.,,,
,,,,,,,,
GV,Visualization,0,0,,,,,
GV,Visualization,3,Familiarity,1,Describe the basic algorithms for scalar and vector visualization.,,,
GV,Visualization,3,Assessment,2,Describe the tradeoffs of visualization algorithms in terms of accuracy and performance.,,,
GV,Visualization,3,Assessment,3,Propose a suitable visualization design for a particular combination of data characteristics and application tasks.,,,
GV,Visualization,3,Assessment,4,Analyze the effectiveness of a given visualization for a particular task.,8/19/13,Revised,
GV,Visualization,3,Assessment,5,Design a process to evaluate the utility of a visualization algorithm or system.,,,
GV,Visualization,3,Familiarity,6,"Recognize a variety of applications of visualization including representations of scientific, medical, and mathematical data; flow visualization; and spatial analysis.",,,
,,,,,,,,
HCI,Foundations,4,0,,,,,
HCI,Foundations,1,Familiarity,1,Discuss why human-centered software development is important.,,,
HCI,Foundations,1,Familiarity,2,Summarize the basic precepts of psychological and social interaction.,,,
HCI,Foundations,1,Usage,3,"Develop and use a conceptual vocabulary for analyzing human interaction with software: affordance, conceptual model, feedback, and so forth.",8/19/13,Changed level,
HCI,Foundations,1,Usage,4,Define a user-centered design process that explicitly takes account of  the fact that the user is not like the developer or their acquaintances.,8/19/13,Changed level,
HCI,Foundations,1,Assessment,5,Create and conduct a simple usability test for an existing software application.,8/19/13,Changed level,
,,,,,,,,
HCI,Designing Interaction,0,4,,,,,
HCI,Designing Interaction,2,Assessment,1,"For an identified user group, undertake and document an analysis of their needs.",8/19/13,new,
HCI,Designing Interaction,2,Usage,2,"Create a simple application, together with help and documentation, that supports a graphical user interface.",8/19/13,Revised,
HCI,Designing Interaction,2,Usage,3,Conduct a quantitative evaluation and discuss/report the results.,8/19/13,Revised,
HCI,Designing Interaction,2,Familiarity,4,Discuss at least one national or international user interface design standard.,8/19/13,new,
,,,,,,,,
HCI,Programming Interactive Systems,0,0,,,,,
HCI,Programming Interactive Systems,3,Familiarity,1,Explain the importance of Model-View controller to interface programming.,8/19/13,Revised,
HCI,Programming Interactive Systems,3,Usage,2,Create an application with a modern graphical user interface.,,,
HCI,Programming Interactive Systems,3,Familiarity,3,Identify commonalities and differences in UIs across different platforms.,8/19/13,Changed level,
HCI,Programming Interactive Systems,3,Familiarity,4,"Explain and use GUI programming concepts: event handling, constraint-based layout management, etc.",8/19/13,Changed level,
,,,,,,,,
HCI,User-centered design and testing,0,0,,,,,
HCI,User-centered design and testing,3,Familiarity,1,Explain how user-centred design complements other software process models.,8/19/13,Revised,
HCI,User-centered design and testing,3,Usage,2,"Use lo-fi (low fidelity) prototyping techniques to gather, and report, user responses.",,,
HCI,User-centered design and testing,3,Assessment,3,Choose appropriate methods to support the development of a specific UI.,,,
HCI,User-centered design and testing,3,Assessment,4,Use a variety of techniques to evaluate a given UI.,,,
HCI,User-centered design and testing,3,Assessment,5,Compare the constraints and benefits of different evaluative methods.,,,
,,,,,,,,
HCI,New Interactive Technologies,0,0,,,8/19/13,Renamed KU,
HCI,New Interactive Technologies,3,Familiarity,1,Describe when non-mouse interfaces are appropriate.,,,
HCI,New Interactive Technologies,3,Familiarity,2,Understand the interaction possibilities beyond mouse-and-pointer interfaces.,,,
HCI,New Interactive Technologies,3,Assessment,3,Discuss the advantages (and disadvantages) of non-mouse interfaces.,,,
,,,,,,,,
HCI,Collaboration and communication,0,0,,,,,
HCI,Collaboration and communication,3,Familiarity,1,Describe the difference between synchronous and asynchronous communication.,8/19/13,changed level,
HCI,Collaboration and communication,3,Assessment,2,Compare the HCI issues in individual interaction with group interaction.,8/19/13,changed level,
HCI,Collaboration and communication,3,Familiarity,3,Discuss several issues of social concern raised by collaborative software.,8/19/13,changed level,
HCI,Collaboration and communication,3,Familiarity,4,Discuss the HCI issues in software that embodies human intention.,8/19/13,changed level,
,,,,,,,,
HCI,Statistical methods for HCI,0,0,,,,,
HCI,Statistical methods for HCI,3,Familiarity,1,Explain basic statistical concepts and their areas of application.,,,
HCI,Statistical methods for HCI,3,Usage,2,Extract and articulate the statistical arguments used in papers that quantitatively report user studies.,,,
HCI,Statistical methods for HCI,3,Usage,3,Design a user study that will yield quantitative results.,8/19/13,new,
HCI,Statistical methods for HCI,3,Usage,4,Conduct and report on a study that utilizes both qualitative and quantitative evaluation.,8/19/13,new,
,,,,,,,,
HCI,Human factors and security,0,0,,,,,
HCI,Human factors and security,3,Familiarity,1,"Explain the concepts of phishing and spear phishing, and how to recognize them.",,,
HCI,Human factors and security,3,Assessment,2,Describe the issues of trust in interface design with an example of a high and low trust system.,8/19/13,changed level,
HCI,Human factors and security,3,Assessment,3,Design a user interface for a security mechanism.,,,
HCI,Human factors and security,3,Familiarity,4,Explain the concept of identity management and its importance.,,,
HCI,Human factors and security,3,Usage,5,"Analyze a security policy and/or procedures to show where they consider, or fail to consider, human factors.",8/19/13,changed level,
,,,,,,,,
HCI,Design-oriented HCI,0,0,,,,,
HCI,Design-oriented HCI,3,Familiarity,1,Explain what is meant by “HCI is a design-oriented discipline”.,8/19/13,Revised,
HCI,Design-oriented HCI,3,Familiarity,2,Detail the processes of design appropriate to specific design orientations.,,,
HCI,Design-oriented HCI,3,Usage,3,Apply a variety of design methods to a given problem.,,,
,,,,,,,,
HCI,"Mixed, Augmented and Virtual Reality",0,0,,,,,
HCI,"Mixed, Augmented and Virtual Reality",3,Familiarity,1,Describe the optical model realized by a computer graphics system to synthesize stereoscopic view.,,,
HCI,"Mixed, Augmented and Virtual Reality",3,Familiarity,2,Describe the principles of different viewer tracking technologies.,,,
HCI,"Mixed, Augmented and Virtual Reality",3,Familiarity,3,Describe the differences between geometry- and image-based virtual reality.,,,
HCI,"Mixed, Augmented and Virtual Reality",3,Familiarity,4,Describe the issues of user action synchronization and data consistency in a networked environment.,,,
HCI,"Mixed, Augmented and Virtual Reality",3,Usage,5,"Determine the basic requirements on interface, hardware, and software configurations of a VR system for a specified application.",,,
HCI,"Mixed, Augmented and Virtual Reality",3,Familiarity,6,"Describe several possible uses for games engines, including their potential and their limitations.",8/19/13,changed level,
,,,,,,,,
IAS,Foundational Concepts in Security,1,2,,,5/2/13,Renamed KU,
IAS,Foundational Concepts in Security,1,Usage,1,"Analyze the tradeoffs of balancing key security properties (Confidentiality, Integrity, Availability).",5/2/13,,
IAS,Foundational Concepts in Security,1,Familiarity,2,"Describe the concepts of risk, threats, vulnerabilities and attack vectors (including the fact that there is no such thing as perfect security).",5/2/13,,
IAS,Foundational Concepts in Security,1,Familiarity,3,"Explain the concepts of authentication, authorization, access control.",5/2/13,,
IAS,Foundational Concepts in Security,1,Familiarity,4,Explain the concept of trust and trustworthiness.,5/2/13,,
IAS,Foundational Concepts in Security,1,Familiarity,5,"Recognize that there are important ethical issues to consider in computer security, including ethical issues associated with fixing or not fixing vulnerabilities and disclosing or not disclosing vulnerabilities.",5/2/13,,
,,,,,,,,
IAS,Principles of Secure Design,1,2,,,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,1,Describe the principle of least privilege and isolation as applied to system design.,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,2,Summarize the principle of fail-safe and deny-by-default.,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,3,Discuss the implications of relying on open design or the secrecy of design for security. ,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,4,Explain the goals of end-to-end data security.,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,5,Discuss the benefits of having multiple layers of defenses.,5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,6,"For each stage in the lifecycle of a product, describe what security considerations should be evaluated. ",5/2/13,,
IAS,Principles of Secure Design,1,Familiarity,7,Describe the cost and tradeoffs associated with designing security into a product.,5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,8,Describe the concept of mediation and the principle of complete mediation.,5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,9,"Be aware of standard components for security operations, instead of re-inventing fundamentals operations.",5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,10,Explain the concept of trusted computing including trusted computing base and attack surface and the principle of minimizing trusted computing base.,5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,11,Discuss the importance of usability in security mechanism design.,5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,12,Describe security issues that arise at boundaries between multiple components. ,5/2/13,,
IAS,Principles of Secure Design,2,Familiarity,13,Identify the different roles of prevention mechanisms and detection/deterrence mechanisms.,5/2/13,,
,,,,,,,,
IAS,Defensive Programming,1,2,,,5/2/13,,
IAS,Defensive Programming,1,Familiarity,1,Explain why input validation and data sanitization is necessary in the face of adversarial control of the input channel. ,5/2/13,,
IAS,Defensive Programming,1,Familiarity,2,"Explain why you might choose to develop a program in a type-safe language like Java, in contrast to an unsafe programming language like C/C++.",5/2/13,,
IAS,Defensive Programming,1,Usage,3,"Classify common input validation errors, and write correct input validation code.",5/2/13,,
IAS,Defensive Programming,1,Usage,4,Demonstrate using a high-level programming language how to prevent a race condition from occurring and how to handle an exception.,5/2/13,,
IAS,Defensive Programming,1,Usage,5,Demonstrate the identification and graceful handling of error conditions.,5/2/13,,
IAS,Defensive Programming,2,Familiarity,6,Explain the risks with misusing interfaces with third-party code and how to correctly use third-party code.,5/2/13,,
IAS,Defensive Programming,2,Familiarity,7,Discuss the need to update software to fix security vulnerabilities and the lifecycle management of the fix.,5/2/13,,
IAS,Defensive Programming,2,Familiarity,8,List examples of direct and indirect information flows.,5/2/13,,
IAS,Defensive Programming,3,Familiarity,9,"Explain the role of random numbers in security, beyond just cryptography (eg password generation, randomized algorithms to avoid algorithmic denial of service attacks).",5/2/13,,
IAS,Defensive Programming,3,Familiarity,10,Explain the different types of mechanisms for detecting and mitigating data sanitization errors.,5/2/13,,
IAS,Defensive Programming,3,Usage,11,Demonstrate how programs are tested for input handling errors.,5/2/13,,
IAS,Defensive Programming,3,Usage,12,Use static and dynamic tools to identify programming faults.,5/2/13,,
IAS,Defensive Programming,3,Familiarity,13,Describe how memory architecture is used to protect runtime attacks.,5/2/13,,
,,,,,,,,
IAS,Threats and Attacks,0,1,,,5/2/13,,
IAS,Threats and Attacks,2,Familiarity,1,Describe likely attacker types against a particular system.,5/2/13,,
IAS,Threats and Attacks,2,Familiarity,2,"Discuss the limitations of malware countermeasures (eg, signature-based detection, behavioral detection).",5/2/13,,
IAS,Threats and Attacks,2,Familiarity,3,Identify instances of social engineering attacks and Denial of Service attacks.,5/2/13,,
IAS,Threats and Attacks,2,Familiarity,4,Discuss how Denial of Service attacks can be identified and mitigated.,5/2/13,,
IAS,Threats and Attacks,2,Familiarity,5,Describe risks to privacy and anonymity in commonly used applications.,5/2/13,,
IAS,Threats and Attacks,2,Familiarity,6,Discuss the concepts of covert channels and other data leakage procedures.,5/2/13,,
,,,,,,,,
IAS,Network Security,0,2,,,5/2/13,,
IAS,Network Security,2,Familiarity,1,Describe the different categories of network threats and attacks.,5/2/13,,
IAS,Network Security,2,Familiarity,2,Describe the architecture for public and private key cryptography and how PKI supports network security.,5/2/13,,
IAS,Network Security,2,Familiarity,3,Describe virtues and limitations of security technologies at each layer of the network stack.,5/2/13,,
IAS,Network Security,2,Familiarity,4,Identify the appropriate defense mechanism(s) and its limitations given a network threat.,5/2/13,,
IAS,Network Security,2,Familiarity,5,Discuss security properties and limitations of other  non-wired networks.,5/2/13,,
IAS,Network Security,3,Familiarity,6,Identify the additional threats faced by non-wired networks.,5/2/13,,
IAS,Network Security,3,Familiarity,7,Describe threats that can and cannot be protected against using secure communication channels.,5/2/13,,
IAS,Network Security,3,Familiarity,8,Summarize defenses against network censorship.,5/2/13,,
IAS,Network Security,3,Familiarity,9,Diagram a network for security.,5/2/13,,
,,,,,,,,
IAS,Cryptography,0,1,,,5/2/13,,
IAS,Cryptography,2,Familiarity,1,Describe the purpose of Cryptography and list ways it is used in data communications.,5/2/13,Core Tier 2,
IAS,Cryptography,2,Familiarity,2,"Define the following terms: Cipher, Cryptanalysis, Cryptographic Algorithm, and Cryptology and describe the two basic methods (ciphers) for transforming plain text in cipher text.",5/2/13,Core Tier 2,
IAS,Cryptography,2,Familiarity,3,Discuss the importance of prime numbers in cryptography and explain their use in cryptographic algorithms.,5/2/13,Core Tier 2,
IAS,Cryptography,2,Familiarity,4,Explain how Public Key Infrastructure supports digital signing and encryption and discuss the limitations/vulnerabilities.,5/2/13,Core Tier 2,
IAS,Cryptography,2,Usage,5,Use cryptographic primitives and their basic properties.,5/2/13,Core Tier 2,
IAS,Cryptography,3,Usage,6,Illustrate how to measure entropy and how to generate cryptographic randomness.,5/2/13,,
IAS,Cryptography,3,Usage,7,Use public-key primitives and their applications.,5/2/13,,
IAS,Cryptography,3,Familiarity,8,Explain how key exchange protocols work and how they fail.,5/2/13,,
IAS,Cryptography,3,Familiarity,9,Discuss cryptographic protocols and their properties.,5/2/13,,
IAS,Cryptography,3,Familiarity,10,Describe real-world applications of cryptographic primitives and protocols.,5/2/13,,
IAS,Cryptography,3,Familiarity,11,"Summarize precise security definitions, attacker capabilities and goals.",5/2/13,,
IAS,Cryptography,3,Usage,12,Apply appropriate known cryptographic techniques for a given scenario.,5/2/13,,
IAS,Cryptography,3,Familiarity,13,Appreciate the dangers of inventing one’s own cryptographic methods.,5/2/13,,
IAS,Cryptography,3,Familiarity,14,Describe quantum cryptography and the impact of quantum computing on cryptographic algorithms.,5/2/13,,
,,,,,,,,
IAS ,Web Security,0,0,,,5/2/13,,
IAS ,Web Security,3,Familiarity,1,Describe the browser security model including same-origin policy and threat models in web security.,5/2/13,,
IAS ,Web Security,3,Familiarity,2,"Discuss the concept of web sessions, secure communication channels such as TLS and importance of secure certificates, authentication including single sign-on such as OAuth and SAML.",5/2/13,,
IAS ,Web Security,3,Familiarity,3,"Investigate common types of vulnerabilities and attacks in web applications, and defenses against them.",5/2/13,,
IAS ,Web Security,3,Usage,4,Use client-side security capabilities.,5/2/13,,
,,,,,,,,
IAS,Platform Security,0,0, ,,5/2/13,,
IAS,Platform Security,3,Familiarity,1,Explain the concept of code integrity and code signing and the scope it applies to.,5/2/13,,
IAS,Platform Security,3,Familiarity,2,Discuss the concept of root of trust and the process of secure boot and secure loading.,5/2/13,,
IAS,Platform Security,3,Familiarity,3,Describe the mechanism of remote attestation of system integrity.,5/2/13,,
IAS,Platform Security,3,Familiarity,4,Summarize the goals and key primitives of TPM.,5/2/13,,
IAS,Platform Security,3,Familiarity,5,Identify the threats of plugging peripherals into a device.,5/2/13,,
IAS,Platform Security,3,Familiarity,6,Identify physical attacks and countermeasures.,5/2/13,,
IAS,Platform Security,3,Familiarity,7,Identify attacks on non-PC hardware platforms.,5/2/13,,
IAS,Platform Security,3,Familiarity,8,Discuss the concept and importance of trusted path.,5/2/13,,
,,,,,,,,
IAS,Security Policy and Governance,0,0,,,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,1,"Describe the concept of privacy including personally private information, potential violations of privacy due to security mechanisms, and describe how privacy protection mechanisms run in conflict with security mechanisms.",5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,2,Describe how an attacker can infer a secret by interacting with a database.,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,3,Explain how to set a data backup policy or password refresh policy.,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,4,Discuss how to set a breach disclosure policy.,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,5,Describe the consequences of data retention policies.,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,6,Identify the risks of relying on outsourced manufacturing.,5/2/13,,
IAS,Security Policy and Governance,3,Familiarity,7,Identify the risks and benefits of outsourcing to the cloud.,5/2/13,,
,,,,,,,,
IAS,Digital Forensics,0,0,,,5/2/13,,
IAS,Digital Forensics,3,Familiarity,1,"Describe what is a Digital Investigation is, the sources of digital evidence, and the limitations of forensics.",5/2/13,revised,
IAS,Digital Forensics,3,Familiarity,2,Explain how to design software to support forensics.,5/2/13,new,
IAS,Digital Forensics,3,Familiarity,3,Describe the legal requirements for use of seized data.,,,
IAS,Digital Forensics,3,Familiarity,4,Describe the process of evidence seizure from the time when the requirement was identified to the disposition of the data.,,,
IAS,Digital Forensics,3,Familiarity,5,Describe how data collection is accomplished and the proper storage of the original and forensics copy.,,,
IAS,Digital Forensics,3,Usage,6,Conduct data collection on a hard drive.,,,
IAS,Digital Forensics,3,Familiarity,7,Describe a person’s responsibility and liability while testifying as a forensics examiner.,,,
IAS,Digital Forensics,3,Usage,8,Recover data based on a given search term from an imaged system.,5/2/13,,
IAS,Digital Forensics,3,Usage,9,Reconstruct application history from application artifacts.,5/2/13,,
IAS,Digital Forensics,3,Usage,10,Reconstruct web browsing history from web artifacts.,5/2/13,,
IAS,Digital Forensics,3,Usage,11,Capture and interpret network traffic.,5/2/13,,
IAS,Digital Forensics,3,Familiarity,12,Discuss the challenges associated with mobile device forensics.,,,
IAS,Digital Forensics,3,Usage,13,"Inspect a system (network, computer, or application) for the presence of malware or malicious activity.",5/2/13,,
IAS,Digital Forensics,3,Usage,14,Apply forensics tools to investigate security breaches.,5/2/13,,
IAS,Digital Forensics,3,Familiarity,15,Identify anti-forensic methods.,5/2/13,,
,,,,,,,,
IAS ,Secure Software Engineering,0,0,,,5/2/13,renamed KU,
IAS ,Secure Software Engineering,3,Familiarity,1,Describe the requirements for integrating security into the SDL.,5/2/13,,
IAS ,Secure Software Engineering,3,Usage,2,"Apply the concepts of the Design Principles for Protection Mechanisms, the Principles for Software Security (Viega and McGraw), and the Principles for Secure Design (Morrie Gasser) on a software development project.",5/2/13,,
IAS ,Secure Software Engineering,3,Usage,3,Develop specifications for a software development effort that fully specify functional requirements and identifies the expected execution paths.,5/2/13,,
IAS ,Secure Software Engineering,3,Familiarity,4,Describe software development best practices for minimizing vulnerabilities in programming code.,5/2/13,,
IAS ,Secure Software Engineering,3,Usage,5,Conduct a security verification and assessment (static and dynamic) of a software application.,5/2/13,,
,,,,,,,,
IM,Information Management Concepts,1,2,,,,,
IM,Information Management Concepts,1,Familiarity,1,Describe how humans gain access to information and data to support their needs.,,,
IM,Information Management Concepts,1,Assessment,2,Describe the advantages and disadvantages of central organizational control over data. ,8/19/13,Revised,
IM,Information Management Concepts,1,Familiarity,3,"Identify the careers/roles associated with information management (eg, database administrator, data modeler, application developer, end-user).",,,
IM,Information Management Concepts,1,Assessment,4,Compare and contrast information with data and knowledge.,,,
IM,Information Management Concepts,1,Usage,5,Demonstrate uses of explicitly stored metadata/schema associated with data.,,,
IM,Information Management Concepts,1,Familiarity,6,Identify issues of data persistence for an organization.,,,
IM,Information Management Concepts,2,Assessment,7,Critique an information application with regard to satisfying user information needs.,8/19/13,Revised,
IM,Information Management Concepts,2,Familiarity,8,Explain uses of declarative queries.,,,
IM,Information Management Concepts,2,Familiarity,9,Give a declarative version for a navigational query.,,,
IM,Information Management Concepts,2,Familiarity,10,"Describe several technical solutions to the problems related to information privacy, integrity, security, and preservation.",,,
IM,Information Management Concepts,2,Familiarity,11,"Explain measures of efficiency (throughput, response time) and effectiveness (recall, precision).",,,
IM,Information Management Concepts,2,Familiarity,12,Describe approaches to scale up information systems.,8/19/13,Revised,
IM,Information Management Concepts,2,Usage,13,Identify vulnerabilities and failure scenarios in common forms of information systems.,,,
,,,,,,,,
IM,Database Systems,0,3,,,,,
IM,Database Systems,2,Familiarity,1,Explain the characteristics that distinguish the database approach from the approach of programming with data files.,,,
IM,Database Systems,2,Familiarity,2,"Describe the most common designs for core database system components including the query optimizer, query executor, storage manager, access methods, and transaction processor.",8/19/13,Revised,
IM,Database Systems,2,Familiarity,3,"Cite the basic goals, functions, and models of database systems.",8/19/13,Revised,
IM,Database Systems,2,Familiarity,4,Describe the components of a database system and give examples of their use.,,,
IM,Database Systems,2,Familiarity,5,Identify major DBMS functions and describe their role in a database system.,,,
IM,Database Systems,2,Familiarity,6,Explain the concept of data independence and its importance in a database system.,,,
IM,Database Systems,2,Usage,7,Use a declarative query language to elicit information from a database.,,,
IM,Database Systems,2,Familiarity,8,"Describe facilities that datatbases provide supporting structures and/or stream (sequence) data, eg, text.",8/19/13,Revised,
IM,Database Systems,3,Familiarity,9,Describe major approaches to storing and processing large volumes of data.,,,
,,,,,,,,
IM,Data Modeling,0,4,,,,,
IM,Data Modeling,2,Assessment,1,"Compare and contrast appropriate data models, including internal structures, for different types of data.",8/19/13,Revised,
IM,Data Modeling,2,Familiarity,2,"Describe concepts in modeling notation (eg, Entity-Relation Diagrams or UML) and how they would be used.",8/19/13,Revised,
IM,Data Modeling,2,Familiarity,3,Define the fundamental terminology used in the relational data model.,,,
IM,Data Modeling,2,Familiarity,4,Describe the basic principles of the relational data model.,,,
IM,Data Modeling,2,Usage,5,Apply the modeling concepts and notation of the relational data model.,,,
IM,Data Modeling,2,Familiarity,6,"Describe the main concepts of the OO model such as object identity, type constructors, encapsulation, inheritance, polymorphism, and versioning.",,,
IM,Data Modeling,2,Assessment,7,Describe the differences between relational and semi-structured data models.,,,
IM,Data Modeling,2,Usage,8,"Give a semi-structured equivalent (eg, in DTD or XML Schema) for a given relational schema.",,,
,,,,,,,,
IM ,Indexing,0,0,,,,,
IM ,Indexing,3,Usage,1,Generate an index file for a collection of resources.,,,
IM ,Indexing,3,Familiarity,2,Explain the role of an inverted index in locating a document in a collection.,,,
IM ,Indexing,3,Familiarity,3,Explain how stemming and stop words affect indexing.,,,
IM ,Indexing,3,Usage,4,Identify appropriate indices for given relational schema and query set.,,,
IM ,Indexing,3,Usage,5,"Estimate time to retrieve information, when indices are used compared to when they are not used.",,,
IM ,Indexing,3,Familiarity,6,"Describe key challenges in web crawling, eg, detecting duplicate documents, determining the crawling frontier.",8/19/13,new,
,,,,,,,,
IM,Relational Databases,0,0,,,,,
IM,Relational Databases,3,Usage,1,Prepare a relational schema from a conceptual model developed using the entity- relationship model.,,,
IM,Relational Databases,3,Usage,2,Explain and demonstrate the concepts of entity integrity constraint and referential integrity constraint (including definition of the concept of a foreign key).,,,
IM,Relational Databases,3,Usage,3,"Demonstrate use of the relational algebra operations from mathematical set theory (union, intersection, difference, and Cartesian product) and the relational algebra operations developed specifically for relational databases (select (restrict), project, join, and division).",,,
IM,Relational Databases,3,Usage,4,Write queries in the relational algebra.,8/19/13,Revised,
IM,Relational Databases,3,Usage,5,Write queries in the tuple relational calculus.,8/19/13,Revised,
IM,Relational Databases,3,Assessment,6,Determine the functional dependency between two or more attributes that are a subset of a relation.,,,
IM,Relational Databases,3,Usage,7,"Connect constraints expressed as primary key and foreign key, with functional dependencies.",,,
IM,Relational Databases,3,Usage,8,Compute the closure of a set of attributes under given functional dependencies.,,,
IM,Relational Databases,3,Assessment,9,Determine whether a set of attributes form a superkey and/or candidate key for a relation with given functional dependencies.,,,
IM,Relational Databases,3,Assessment,10,"Evaluate a proposed decomposition, to say whether it has lossless-join and dependency-preservation.",,,
IM,Relational Databases,3,Familiarity,11,"Describe the properties of BCNF, PJNF, 5NF.",,,
IM,Relational Databases,3,Familiarity,12,Explain the impact of normalization on the efficiency of database operations especially query optimization.,,,
IM,Relational Databases,3,Familiarity,13,Describe what is a multi-valued dependency and what type of constraints it specifies.,,,
,,,,,,,,
IM,Query Languages,0,0,,,,,
IM,Query Languages,3,Usage,1,"Create a relational database schema in SQL that incorporates key, entity integrity, and referential integrity constraints.",,,
IM,Query Languages,3,Usage,2,Use SQL to create tables and retrieve (SELECT) information from a database.,8/19/13,Revised,
IM,Query Languages,3,Assessment,3,Evaluate a set of query processing strategies and select the optimal strategy.,,,
IM,Query Languages,3,Usage,4,Create a non-procedural query by filling in templates of relations to construct an example of the desired query result.,,,
IM,Query Languages,3,Usage,5,"Embed object-oriented queries into a stand-alone language such as C++ or Java (eg, SELECT ColMethod() FROM Object).",,,
IM,Query Languages,3,Usage,6,"Write a stored procedure that deals with parameters and has some control flow, to provide a given functionality.",,,
,,,,,,,,
IM,Transaction Processing,0,0,,,,,
IM,Transaction Processing,3,Usage,1,Create a transaction by embedding SQL into an application program.,,,
IM,Transaction Processing,3,Familiarity,2,Explain the concept of implicit commits.,,,
IM,Transaction Processing,3,Familiarity,3,Describe the issues specific to efficient transaction execution.,,,
IM,Transaction Processing,3,Assessment,4,Explain when and why rollback is needed and how logging assures proper rollback.,,,
IM,Transaction Processing,3,Assessment,5,Explain the effect of different isolation levels on the concurrency control mechanisms.,,,
IM,Transaction Processing,3,Assessment,6,Choose the proper isolation level for implementing a specified transaction protocol.,,,
IM,Transaction Processing,3,Assessment,7,Identify appropriate transaction boundaries in application programs.,,,
,,,,,,,,
IM,Distributed Databases,0,0,,,,,
IM,Distributed Databases,3,Familiarity,1,"Explain the techniques used for data fragmentation, replication, and allocation during the distributed database design process.",,,
IM,Distributed Databases,3,Assessment,2,Evaluate simple strategies for executing a distributed query to select the strategy that minimizes the amount of data transfer.,,,
IM,Distributed Databases,3,Familiarity,3,Explain how the two-phase commit protocol is used to deal with committing a transaction that accesses databases stored on multiple nodes.,,,
IM,Distributed Databases,3,Familiarity,4,Describe distributed concurrency control based on the distinguished copy techniques and the voting method.,,,
IM,Distributed Databases,3,Familiarity,5,Describe the three levels of software in the client-server model.,,,
,,,,,,,,
IM,Physical Database Design,0,0,,,,,
IM,Physical Database Design,3,Familiarity,1,"Explain the concepts of records, record types, and files, as well as the different techniques for placing file records on disk.",,,
IM,Physical Database Design,3,Familiarity,2,"Give examples of the application of primary, secondary, and clustering indexes.",,,
IM,Physical Database Design,3,Assessment,3,Distinguish between a non-dense index and a dense index.,,,
IM,Physical Database Design,3,Usage,4,Implement dynamic multilevel indexes using B-trees.,,,
IM,Physical Database Design,3,Familiarity,5,Explain the theory and application of internal and external hashing techniques.,,,
IM,Physical Database Design,3,Usage,6,Use hashing to facilitate dynamic file expansion.,,,
IM,Physical Database Design,3,Familiarity,7,"Describe the relationships among hashing, compression, and efficient database searches.",,,
IM,Physical Database Design,3,Assessment,8,Evaluate costs and benefits of various hashing schemes.,,,
IM,Physical Database Design,3,Familiarity,9,Explain how physical database design affects database transaction efficiency.,,,
,,,,,,,,
IM,Data Mining,0,0,,,,,
IM,Data Mining,3,Assessment,1,Compare and contrast different uses of data mining as evidenced in both research and application.,8/19/13,Revised,
IM,Data Mining,3,Familiarity,2,Explain the value of finding associations in market basket data.,8/19/13,Revised,
IM,Data Mining,3,Assessment,3,Characterize the kinds of patterns that can be discovered by association rule mining.,,,
IM,Data Mining,3,Familiarity,4,Describe how to extend a relational system to find patterns using association rules.,,,
IM,Data Mining,3,Assessment,5,Evaluate different methodologies for effective application of data mining.,8/19/13,Revised,
IM,Data Mining,3,Assessment,6,"Identify and characterize sources of noise, redundancy, and outliers in presented data.",,,
IM,Data Mining,3,Familiarity,7,"Identify mechanisms (on-line aggregation, anytime behavior, interactive visualization) to close the loop in the data mining process.",,,
IM,Data Mining,3,Familiarity,8,Describe why the various close-the-loop processes improve the effectiveness of data mining.,,,
,,,,,,,,
IM,Information Storage and Retrieval,0,0,,,,,
IM,Information Storage and Retrieval,3,Familiarity,1,Explain basic information storage and retrieval concepts.,,,
IM,Information Storage and Retrieval,3,Familiarity,2,Describe what issues are specific to efficient information retrieval.,,,
IM,Information Storage and Retrieval,3,Assessment,3,Give applications of alternative search strategies and explain why the particular search strategy is appropriate for the application.,8/19/13,Revised,
IM,Information Storage and Retrieval,3,Usage,4,"Design and implement a small to medium size information storage and retrieval system, or digital library.",,,
